"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.651625005E-3,-2.292164084E-1,4.655289978E-1,-5.128961223E-1
1.969762500E-2,-1.380290803E-1,4.705079019E-2,-6.401403058E-1
2.974362500E-2,5.176285663E-1,-1.053478226E-1,-7.205155474E-1
3.978862500E-2,1.443246020E0,-5.712846637E-2,-6.369945037E-1
4.983462500E-2,2.094534920E0,-3.834457844E-2,-5.787164748E-1
5.988062499E-2,1.968069585E0,-8.641833901E-2,-6.409811354E-1
6.992562499E-2,1.584087319E0,8.440718919E-2,-6.039635825E-1
7.997162500E-2,1.123171189E0,5.873741546E-1,-2.855253875E-1
9.001762500E-2,4.250077933E-1,9.920441625E-1,9.950148404E-2
1.000636250E-1,2.879168987E-2,9.240156090E-1,4.067276430E-1
1.101086250E-1,1.716540787E-1,4.636564270E-1,4.058289260E-1
1.201546250E-1,6.886520228E-1,2.070636472E-1,1.747878939E-1
1.302006250E-1,1.143128906E0,6.722105294E-2,-3.694715238E-1
1.402466250E-1,1.136221005E0,-2.482020253E-1,6.507249355E-2
1.502916250E-1,7.565004820E-1,-2.381331199E-1,1.110741763E0
1.603376250E-1,1.925064191E-1,-1.833947030E-1,2.174994069E0
1.703836250E-1,-1.381497961E0,-4.267515792E-1,2.693033987E0
1.804286250E-1,-1.053510386E0,-3.490678109E-1,3.373903658E0
1.904746250E-1,1.711187661E-1,-1.283763506E-1,3.335070544E0
2.005206250E-1,1.210467196E-1,2.433378728E-1,2.336904055E0
2.105666250E-1,4.955977196E-1,7.322646502E-1,2.028806661E0
2.206116250E-1,7.627347833E-1,1.154033671E0,2.109360827E0
2.306576250E-1,9.185876387E-1,1.772718496E0,1.972393309E0
2.407036250E-1,1.025067190E0,2.272904525E0,1.807212390E0
2.507486250E-1,7.215955281E-1,1.829151874E0,1.940430089E0
2.607946250E-1,9.566524279E-1,1.044656824E0,1.487419395E0
2.708406250E-1,8.330183154E-1,7.122321624E-1,-5.595960796E-1
2.808866250E-1,7.022079152E-1,7.313866176E-1,-1.798182535E0
2.909316250E-1,3.777570283E-1,1.380257913E0,-1.842292176E0
3.009776250E-1,-6.887347609E-1,1.890645726E0,-4.913427007E-1
3.110236250E-1,-1.417990142E0,1.979277236E0,1.262983378E0
3.210686250E-1,-8.211028594E-1,1.431585649E0,2.210241669E0
3.311146250E-1,-5.811740595E-1,9.937579814E-1,1.059518400E0
3.411606250E-1,-9.356229168E-1,8.669127973E-1,-1.420351832E0
3.512066250E-1,-7.485699034E-1,6.145600529E-1,-2.919359824E0
3.612516250E-1,2.407213899E-1,-6.572987134E-2,-3.021725274E0
3.712976250E-1,1.431917624E0,-7.371753611E-1,-3.873081043E0
3.813436250E-1,1.271818521E0,-6.986215255E-1,-3.071372813E0
3.913886250E-1,-4.565482593E-1,8.869193746E-2,-2.832902893E0
4.014346250E-1,-1.664019634E0,6.874303202E-1,-1.318255354E0
4.114806250E-1,-1.972778933E0,8.897928060E-1,1.501009494E-1
4.215266250E-1,-2.000991164E0,1.179595286E0,-8.169729710E-2
4.315716250E-1,-1.827160167E0,1.449312214E0,-3.353530204E-1
4.416176250E-1,-2.083952629E0,1.326546121E0,2.081626314E-1
4.516636250E-1,-2.040411337E0,2.617790408E-1,-5.812658608E-2
4.617096250E-1,-2.187074709E0,-3.185193251E-1,-4.137133116E-1
4.717546250E-1,-3.970085181E0,5.559423007E-2,-6.151598310E-1
4.818006250E-1,-3.840234309E0,3.394915335E-1,-8.109661263E-1
4.918466250E-1,-2.429707115E0,4.853746670E-1,-4.536854625E-1
5.018916250E-1,-9.369807865E-1,1.738649109E-1,-4.711943650E-1
5.119376250E-1,2.821710153E0,2.029627025E-2,-5.335397172E-1
5.219836250E-1,2.713847736E0,-2.609306829E-1,-1.186283696E0
5.320296250E-1,1.190044772E0,-2.042300865E-1,-1.963046535E0
5.420746250E-1,7.478285495E-1,2.490522105E-1,-1.873425676E0
5.521206250E-1,1.426086489E0,5.519347653E-2,-1.715673060E0
5.621666250E-1,1.644911956E0,-8.325401594E-1,-1.177883586E0
5.722116250E-1,1.556154731E0,-1.175371769E0,-3.731166780E-2
5.822576250E-1,7.748883672E-1,-8.449261701E-1,1.002452499E0
5.923036250E-1,-1.114026583E0,-2.891809206E-1,8.730191177E-1
6.023496250E-1,-2.179463242E0,7.958867419E-1,9.502503115E-1
6.123946250E-1,-1.856949245E0,1.369552830E0,1.964253985E0
6.224406250E-1,-8.936584733E-1,1.039963264E0,2.370060107E0
6.324866250E-1,2.294890349E-1,3.559352195E-1,2.164863768E0
6.425316250E-1,8.828189050E-1,4.128942628E-1,2.218386256E0
6.525776250E-1,1.301967057E0,6.031088658E-1,2.119854825E0
6.626236250E-1,1.312752831E0,4.973666485E-1,1.701339195E0
6.726696250E-1,5.647492307E-1,3.657602960E-1,1.587985073E0
6.827146250E-1,-4.115187053E-1,6.372517812E-1,1.661856456E0
6.927606250E-1,-1.022031169E0,4.544127099E-1,1.276998569E0
7.028066250E-1,-1.042567029E0,1.080031894E-1,8.452115142E-1
7.128516250E-1,-5.561788206E-1,-6.159647003E-2,6.495999312E-1
7.228976250E-1,4.463881373E-2,-1.823581378E-1,6.064597589E-1
7.329436250E-1,2.105265145E-1,-5.135609508E-1,6.477627361E-1
7.429896250E-1,3.754774913E-1,-7.599003455E-1,5.402131444E-1
7.530346250E-1,4.205269258E-1,-7.220676908E-1,4.252948916E-1
7.630806250E-1,1.834002578E-1,-6.665501323E-1,4.142588568E-1
7.731266250E-1,-3.240696484E-1,-8.010173813E-1,5.379590428E-1
7.831726250E-1,-3.557877235E-1,-5.897370145E-1,4.991785544E-1
7.932176250E-1,-1.153847145E-1,-4.862342808E-1,-2.439370662E-1
8.032636250E-1,8.586373061E-2,-8.096534264E-1,-5.733452225E-1
8.133096250E-1,2.938719955E-1,-9.729901332E-1,-7.166598934E-1
8.233546250E-1,5.150183693E-1,-9.104711187E-1,-7.739836568E-1
8.334006250E-1,6.247578894E-1,-8.386863139E-1,-8.719981939E-1
8.434471667E-1,2.298524393E-1,-8.292290273E-1,-8.168308836E-1
8.534931667E-1,-3.042035870E-1,-9.251564008E-1,-8.259911317E-1
8.635381667E-1,-5.990691707E-1,-8.727393284E-1,-8.680770510E-1
8.735841667E-1,-6.047748837E-1,-8.156678724E-1,-7.832152408E-1
8.836301667E-1,-5.430657086E-1,-8.205771947E-1,-6.323091298E-1
8.936751667E-1,-4.537527055E-1,-8.393148896E-1,-5.507556742E-1
9.037211667E-1,-2.583982538E-1,-8.492484319E-1,-4.798336262E-1
9.137671667E-1,-1.290059495E-1,-8.714286751E-1,-4.144933301E-1
9.238131667E-1,-2.753877774E-1,-9.062295485E-1,-3.826254201E-1
9.338581667E-1,-6.912119338E-1,-8.999028611E-1,-4.379599607E-1
9.439041667E-1,-9.907365789E-1,-8.447913918E-1,-7.024377108E-1
9.539501667E-1,-1.055219381E0,-8.513411504E-1,-1.046101964E0
9.639961667E-1,-1.164552519E0,-8.817218211E-1,-1.244269949E0
9.740411667E-1,-9.743328001E-1,-9.503453287E-1,-1.504241835E0
9.840871667E-1,-9.013364522E-1,-1.089169630E0,-1.606321356E0
9.941331667E-1,-3.283518568E-1,-1.211129100E0,-1.803808141E0
1.004178167E0,2.613281474E-1,-1.323868388E0,-2.193732641E0
1.014224167E0,1.723947747E-1,-1.341256546E0,-1.918365621E0
1.024270167E0,2.333667621E-1,-1.384381223E0,-1.571226953E0
1.034316167E0,2.595022081E-1,-1.551261050E0,-1.357180853E0
1.044361167E0,2.052358076E-2,-1.796635070E0,-7.989419121E-1
1.054407167E0,-1.722110260E-1,-1.663009527E0,-5.310757005E-1
1.064453167E0,-7.953300869E-1,-1.254586776E0,-7.714307624E-1
1.074499167E0,-9.813903894E-1,-1.077174945E0,-1.405743148E0
1.084544167E0,-1.089340369E0,-1.193725155E0,-1.760563889E0
1.094590167E0,-6.866209924E-1,-1.332745046E0,-2.077992854E0
1.104636167E0,-1.615959907E-1,-1.315504531E0,-2.196229402E0
1.114681167E0,-4.763288051E-2,-1.349592044E0,-1.758803877E0
1.124727167E0,2.430172992E-1,-1.072545704E0,-1.336690455E0
1.134773167E0,2.560829026E-1,-7.331288686E-1,-8.455260944E-1
1.144819167E0,3.851888394E-1,-5.099233979E-1,-2.606951863E-1
1.154864167E0,3.565275425E-1,-3.948338217E-1,2.339038289E-1
1.164910167E0,4.540286940E-1,-2.856937873E-1,5.963797438E-1
1.174956167E0,6.731302965E-1,-8.604090124E-2,8.910829210E-1
1.185002167E0,5.384984484E-1,1.595912728E-1,9.171960014E-1
1.195047167E0,3.149509156E-1,5.349477267E-1,7.596088618E-1
1.205093167E0,3.162425655E-1,9.575675172E-1,8.622362673E-1
1.215139167E0,4.731566906E-1,1.340473604E0,1.064337675E0
1.225184167E0,7.569404849E-1,1.803034847E0,1.139602450E0
1.235230167E0,8.161651781E-1,1.727185058E0,1.191131038E0
1.245276167E0,9.468209195E-1,1.735713807E0,1.254214894E0
1.255322167E0,9.854961580E-1,1.704034762E0,1.562346202E0
1.265367167E0,1.322753617E0,1.918942741E0,1.803191260E0
1.275413167E0,1.729798179E0,1.921151527E0,2.016705848E0
1.285459167E0,2.127603555E0,1.644204297E0,2.012936148E0
1.295504167E0,2.168759183E0,1.157491129E0,1.595209308E0
1.305550167E0,2.259602402E0,9.327598277E-1,1.558708649E0
1.315596167E0,2.268945376E0,9.775161704E-1,1.791156521E0
1.325642167E0,1.947404940E0,1.095725821E0,1.954528896E0
1.335687167E0,1.552589830E0,1.046677622E0,1.932765559E0
1.345733167E0,1.238653699E0,8.671569917E-1,1.778018997E0
1.355779167E0,1.166570978E0,6.394181746E-1,1.570001376E0
1.365825167E0,1.315092595E0,5.433180159E-1,1.283488394E0
1.375870167E0,1.228328978E0,4.247449610E-1,1.048765955E0
1.385916167E0,9.075299692E-1,3.606463212E-1,9.910936975E-1
1.395962167E0,6.597442657E-1,4.152283251E-1,1.007859419E0
1.406007167E0,5.467155406E-1,4.893034843E-1,9.527546740E-1
1.416053167E0,5.626328310E-1,5.566452822E-1,7.414743072E-1
1.426099167E0,5.664618802E-1,5.095038602E-1,4.939955825E-1
1.436145167E0,5.506483778E-1,3.529879305E-1,2.542766976E-1
1.446190167E0,6.321378064E-1,2.016201818E-1,1.719356221E-1
1.456236167E0,4.866991344E-1,1.297663799E-1,2.799448049E-1
1.466282167E0,2.703808066E-1,1.564940026E-1,3.890380615E-1
1.476328167E0,2.421039641E-1,1.937050983E-1,5.393465871E-1
1.486373167E0,2.876742393E-2,3.361251453E-1,6.646301991E-1
1.496419167E0,-2.302534121E-1,6.342992297E-1,5.275942683E-1
1.506465167E0,-3.446699739E-1,9.115183550E-1,3.795953929E-2
1.516510167E0,-2.610767171E-1,1.046424145E0,-5.490909719E-1
1.526556167E0,-2.079459921E-1,1.184669280E0,-1.132758869E0
1.536602167E0,-3.223625538E-1,1.311876041E0,-1.789665481E0
1.546648167E0,-2.725641569E-1,1.405863601E0,-2.150312387E0
1.556693167E0,1.722221357E-1,1.637758034E0,-2.155984186E0
1.566739167E0,5.352947590E-1,1.848845150E0,-2.103050512E0
1.576785167E0,6.700070062E-1,1.862103712E0,-1.821026437E0
1.586831167E0,5.768380567E-1,1.873055839E0,-1.465600510E0
1.596876167E0,2.540322840E-1,1.835709088E0,-1.088301904E0
1.606922167E0,-1.813496393E-1,1.761047161E0,-7.280029070E-1
1.616968167E0,-1.421911284E-1,1.838199710E0,-3.798205107E-1
1.627013167E0,2.908928391E-1,1.861360823E0,-1.536999106E-1
1.637059167E0,6.590402609E-1,1.756888621E0,-2.290389454E-1
1.647105167E0,1.080131882E0,1.938109037E0,-4.219362509E-1
1.657151167E0,1.075997608E0,2.115753003E0,-5.782042587E-1
1.667196167E0,8.614454314E-1,2.063712199E0,-6.687314361E-1
1.677242167E0,8.753085950E-1,2.034920802E0,-7.247331440E-1
1.687288167E0,1.082780670E0,2.024504864E0,-6.899796331E-1
1.697334167E0,1.073181004E0,1.793280522E0,-5.975983036E-1
1.707379167E0,9.958442679E-1,1.571748524E0,-5.955681503E-1
1.717425167E0,9.228903124E-1,1.530299951E0,-4.226075113E-1
1.727471167E0,9.187683177E-1,1.516029237E0,-3.150152349E-1
1.737517167E0,9.092335555E-1,1.469638597E0,-3.251946527E-1
1.747562167E0,8.213493195E-1,1.372547336E0,-2.920228136E-1
1.757608167E0,6.460223123E-1,1.182601705E0,-1.660737884E-1
1.767654167E0,4.535591626E-1,1.036920081E0,-5.765939355E-3
1.777699167E0,4.564304379E-1,1.002910628E0,2.730591238E-2
1.787745167E0,5.148189792E-1,1.002879345E0,-6.715761065E-2
1.797791167E0,7.108653027E-1,9.907317549E-1,-2.775351673E-1
1.807837167E0,1.068810503E0,9.933746964E-1,-4.731941128E-1
1.817882167E0,1.034231823E0,8.324353480E-1,-4.408198339E-1
1.827928167E0,4.174914899E-1,4.895566687E-1,-9.736608088E-2
1.837974167E0,-3.279115614E-1,2.157888624E-1,3.527169120E-1
1.848020250E0,-8.793054593E-1,1.823454201E-3,7.785947710E-1
