"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
9.813070297E-3,6.501555574E1,2.551818890E1,1.914269805E1,NaN,NaN,1.929679085E1,3.000000000E1
4.050099850E-2,6.501555548E1,2.551818790E1,1.914269805E1,NaN,NaN,1.929510005E1,3.000000000E1
3.000222087E0,6.501555612E1,2.551818958E1,1.914269805E1,NaN,NaN,2.029547957E1,3.000004433E1
3.006257057E0,6.501555612E1,2.551818958E1,1.914269805E1,NaN,NaN,2.029548744E1,3.000004433E1
3.287185073E0,6.501555808E1,2.551817996E1,1.903501466E1,0.000000000E0,NaN,1.775490966E1,1.078906937E2
4.287166715E0,6.501559382E1,2.551817348E1,2.172323608E1,0.000000000E0,NaN,1.425645767E1,2.896777344E1
5.287147999E0,6.501560926E1,2.551817544E1,2.448201801E1,0.000000000E0,NaN,1.264746084E1,5.040701294E1
6.287130117E0,6.501561003E1,2.551816075E1,2.549277411E1,0.000000000E0,NaN,1.137096264E1,8.733786011E1
7.287112236E0,6.501561153E1,2.551814523E1,2.716114880E1,0.000000000E0,NaN,1.145425341E1,3.985672760E1
8.287093401E0,6.501560932E1,2.551811153E1,2.870894633E1,0.000000000E0,NaN,1.088149973E1,2.268520355E1
9.287248015E0,6.501561342E1,2.551811310E1,2.890910349E1,0.000000000E0,NaN,1.104217320E1,6.398135757E1
1.028726232E1,6.501569895E1,2.551824352E1,2.248386450E1,0.000000000E0,NaN,7.031083710E0,1.149905109E1
1.128724372E1,6.501571957E1,2.551825629E1,2.181041007E1,3.408248127E-1,NaN,5.433798897E0,7.902872562E0
1.237825549E1,6.501572596E1,2.551826188E1,2.121525309E1,6.241195202E-1,NaN,4.614654551E0,6.406273365E0
1.337826884E1,6.501573265E1,2.551827233E1,2.001837053E1,6.916590333E-1,NaN,4.016798705E0,5.214881897E0
1.437828279E1,6.501574107E1,2.551828393E1,2.025274124E1,6.241195202E-1,NaN,3.538526140E0,4.468406200E0
1.537826526E1,6.501574408E1,2.551828381E1,2.025273752E1,6.241195202E-1,3.600000000E2,3.210805354E0,5.869813935E0
1.637828171E1,6.501574954E1,2.551828822E1,2.078999562E1,6.176407933E-1,3.366011455E-15,3.228052516E0,5.803615987E0
1.737829590E1,6.501575383E1,2.551829129E1,2.110473312E1,3.228392303E-1,3.600000000E2,3.244007380E0,5.694297332E0
1.837808740E1,6.501575724E1,2.551829254E1,2.144468027E1,3.228392303E-1,4.634009456E-15,3.268500694E0,5.715713625E0
1.937790310E1,6.501576110E1,2.551829303E1,2.155690235E1,3.228392303E-1,7.978959317E-15,3.292605287E0,5.437155005E0
2.037773359E1,6.501576551E1,2.551829078E1,2.140155043E1,4.755424857E-1,3.512735677E2,3.316326827E0,5.235453081E0
2.137753356E1,6.501577137E1,2.551828601E1,2.186902905E1,4.755424857E-1,3.479158189E2,3.339670424E0,5.407332578E0
2.237738442E1,6.501577796E1,2.551828034E1,2.171127224E1,4.744609594E-1,3.425034668E2,3.362646483E0,5.911730464E0
2.337721694E1,6.501578487E1,2.551827517E1,2.174628187E1,4.744609594E-1,3.425034668E2,3.385258092E0,6.090133088E0
2.437705648E1,6.501580551E1,2.551827223E1,2.168490738E1,4.744609594E-1,3.422404499E2,4.748651530E0,6.274327775E0
2.537690473E1,6.501581211E1,2.551826037E1,2.187003270E1,5.627806187E-1,3.061970166E2,4.748651530E0,6.787781946E0
2.637676096E1,6.501582076E1,2.551825223E1,2.210592983E1,6.133908629E-1,3.319541276E2,4.748651530E0,6.645610242E0
2.737662578E1,6.501583359E1,2.551823681E1,2.215276435E1,8.261754513E-1,3.358341112E2,4.748651530E0,6.771964402E0
2.837649751E1,6.501583973E1,2.551820686E1,2.242331382E1,1.022043228E0,3.123141282E2,4.748651530E0,7.992753752E0
2.937637472E1,6.501584655E1,2.551819046E1,2.216623031E1,1.022043228E0,3.117338898E2,4.748651530E0,7.213221273E0
3.037625861E1,6.501585282E1,2.551816046E1,2.148636186E1,1.193958402E0,3.012118965E2,4.748651530E0,8.026593895E0
3.137615061E1,6.501585918E1,2.551814161E1,2.097886593E1,1.193958402E0,3.131191594E2,4.748651530E0,6.031788879E0
3.237604642E1,6.501586541E1,2.551813037E1,2.053116768E1,1.030416608E0,3.160982997E2,4.748651530E0,5.364294662E0
3.337594783E1,6.501587461E1,2.551810625E1,2.013972537E1,1.192885041E0,3.074227802E2,4.748651530E0,6.239850210E0
3.437585521E1,6.501588477E1,2.551809474E1,1.975073257E1,1.183607101E0,3.130577971E2,4.748651530E0,5.455736530E0
3.537576687E1,6.501590096E1,2.551807847E1,2.412770833E1,1.129514291E0,3.148365038E2,2.643030974E0,3.000000000E0
3.637568271E1,6.501590854E1,2.551806469E1,2.378455499E1,1.145254463E0,3.165193734E2,2.882695010E0,3.000000000E0
